epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,187.546,1.42866,1.9958,1.78245,0.86502,0.92208,0.9034,0.49325,1.59344,1.81824,2.20603,0.00182294,0.00182294,0.00182294
60,190.553,1.43799,1.89481,1.76579,0.92485,0.95899,0.95828,0.57726,1.53403,1.37928,2.04544,0.00181698,0.00181698,0.00181698
61,193.529,1.42416,1.90626,1.76823,0.92721,0.92208,0.96536,0.57306,1.54875,1.30906,2.0909,0.00181093,0.00181093,0.00181093
62,196.498,1.3986,1.88904,1.7514,0.87085,0.90909,0.94807,0.49003,1.6895,1.6531,2.24105,0.00180479,0.00180479,0.00180479
63,199.503,1.3915,1.82654,1.72745,0.89024,0.8427,0.91336,0.53491,1.51694,1.61152,2.14188,0.00179856,0.00179856,0.00179856
64,202.597,1.44938,1.94226,1.77712,0.90835,0.8961,0.93774,0.49785,1.59532,1.44995,2.15536,0.00179225,0.00179225,0.00179225
65,205.608,1.4079,1.94767,1.74305,0.90701,0.93506,0.96709,0.56538,1.61207,1.3669,2.17307,0.00178586,0.00178586,0.00178586
66,208.62,1.37323,1.89139,1.72381,0.93272,0.8961,0.94832,0.51718,1.59658,1.30893,2.16535,0.00177937,0.00177937,0.00177937
67,211.613,1.41655,1.89031,1.74779,0.86604,0.8396,0.90216,0.49974,1.56789,1.49081,2.14595,0.00177281,0.00177281,0.00177281
68,214.633,1.45175,1.94074,1.76665,0.91912,0.88557,0.93402,0.54229,1.52475,1.40038,2.05575,0.00176616,0.00176616,0.00176616
69,217.606,1.38908,1.90803,1.74538,0.83678,0.88312,0.91365,0.56478,1.46094,1.81769,2.08925,0.00175943,0.00175943,0.00175943
70,220.586,1.38934,1.8245,1.73619,0.89579,0.89313,0.94087,0.54514,1.66596,1.41477,2.25281,0.00175261,0.00175261,0.00175261
71,223.752,1.38195,1.79712,1.73164,0.97234,0.91313,0.95314,0.57609,1.49339,1.11457,2.06921,0.00174571,0.00174571,0.00174571
72,226.751,1.39437,1.81211,1.72611,0.97017,0.83117,0.9513,0.59438,1.40785,1.36483,1.99094,0.00173874,0.00173874,0.00173874
73,229.754,1.36464,1.83758,1.72177,0.89555,0.89081,0.94598,0.63285,1.28028,1.13878,1.83658,0.00173168,0.00173168,0.00173168
74,232.745,1.43069,1.86132,1.76015,0.88721,0.91947,0.94073,0.54856,1.57123,1.4739,2.18917,0.00172454,0.00172454,0.00172454
75,235.756,1.36993,1.81033,1.71947,0.92221,0.8961,0.93046,0.55951,1.50003,1.48445,2.1096,0.00171733,0.00171733,0.00171733
76,238.745,1.35911,1.78086,1.72334,0.91283,0.95197,0.96248,0.56485,1.49562,1.44038,2.02095,0.00171004,0.00171004,0.00171004
77,241.713,1.3775,1.76792,1.712,0.86496,0.91504,0.94489,0.55914,1.39089,1.29879,1.93568,0.00170267,0.00170267,0.00170267
78,244.71,1.40264,1.82436,1.72501,0.82994,0.88735,0.89093,0.51895,1.45145,1.73448,2.0017,0.00169522,0.00169522,0.00169522
79,247.714,1.34466,1.74461,1.70856,0.86595,0.88312,0.91457,0.55525,1.55009,1.40773,2.08661,0.0016877,0.0016877,0.0016877
80,250.709,1.34897,1.81518,1.69834,0.96996,0.87013,0.96185,0.57519,1.4623,1.25062,2.01384,0.00168011,0.00168011,0.00168011
81,253.66,1.35089,1.76587,1.69271,0.96422,0.94805,0.97108,0.53506,1.60211,1.28855,2.1693,0.00167244,0.00167244,0.00167244
82,256.641,1.34807,1.74364,1.71308,0.97256,0.9205,0.96335,0.60512,1.33775,1.17352,1.9042,0.0016647,0.0016647,0.0016647
83,259.644,1.36862,1.78492,1.70203,0.93316,0.85714,0.93049,0.54626,1.43119,1.43379,2.04386,0.00165689,0.00165689,0.00165689
84,262.669,1.36727,1.82565,1.7078,0.93048,0.8961,0.94354,0.60041,1.3335,1.22233,1.88569,0.001649,0.001649,0.001649
85,265.804,1.3158,1.76437,1.67907,0.94388,0.96104,0.96658,0.58389,1.5208,1.17424,2.17705,0.00164105,0.00164105,0.00164105
86,268.787,1.37695,1.79101,1.72452,0.93491,0.93272,0.93635,0.55261,1.61045,1.3569,2.1503,0.00163303,0.00163303,0.00163303
87,271.775,1.35773,1.77055,1.70436,0.94817,0.9504,0.96904,0.61443,1.41616,1.16305,2.00616,0.00162494,0.00162494,0.00162494
88,274.77,1.34553,1.76248,1.70635,0.96097,0.95932,0.96083,0.63319,1.33742,1.10777,1.857,0.00161678,0.00161678,0.00161678
89,277.731,1.34035,1.73229,1.69256,0.93357,0.93506,0.92855,0.58765,1.41871,1.27779,2.00428,0.00160855,0.00160855,0.00160855
90,280.724,1.36504,1.77928,1.71519,0.87759,0.90909,0.93766,0.62305,1.32807,1.24349,1.85693,0.00160026,0.00160026,0.00160026
